ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Position,Speaker,original_data
hau_conversation_1980_01-138,HAU,Shii wànnan yanàa dà kyâu?,,,And is that kind of thing proper?,,,,,A :,"{""Entry"": ""138"", ""Speaker"": ""A :"", ""Hausa"": ""Shii wa\u0300nnan yana\u0300a da\u0300 kya\u0302u?"", ""English"": ""And is that kind of thing proper?""}"
hau_conversation_1980_01-139,HAU,Ìnaa fa kyâu?,,,How could it be proper?,,,,,T :,"{""Entry"": ""139"", ""Speaker"": ""T :"", ""Hausa"": ""I\u0300naa fa kya\u0302u?"", ""English"": ""How could it be proper?""}"
hau_conversation_1980_01-140,HAU,"Kaa ga Àbdùrràzâk, zân cêe masà, ""Àbdùrràzâk, tun dà dai kaa rigaa ka yi manà wànnan, ai, bà zaa kà ƙaarà yîi manà na biyu ba.""",,,"You know Abdurrazak, I'll say to him, ""Abdurrazak, since you've pulled this one on me, you won't do it again.""",,,,,A :,"{""Entry"": ""140"", ""Speaker"": ""A :"", ""Hausa"": ""Kaa ga A\u0300bdu\u0300rra\u0300za\u0302k, za\u0302n ce\u0302e masa\u0300, \""A\u0300bdu\u0300rra\u0300za\u0302k, tun da\u0300 dai kaa rigaa ka yi mana\u0300 wa\u0300nnan, ai, ba\u0300 zaa ka\u0300 \u0199aara\u0300 yi\u0302i mana\u0300 na biyu ba.\"""", ""English"": ""You know Abdurrazak, I'll say to him, \""Abdurrazak, since you've pulled this one on me, you won't do it again.\""""}"
hau_conversation_1980_01-141,HAU,Hakà nee fa.,,,That's right.,,,,,T :,"{""Entry"": ""141"", ""Speaker"": ""T :"", ""Hausa"": ""Haka\u0300 nee fa."", ""English"": ""That's right.""}"
hau_conversation_1980_01-142,HAU,"Duk rân dà mukà cêe mak, ""Àbdùrràzâk, tun dà dai kaa rigaa kaa yi manà wànnan"", ai, bà zaa kà ƙaarà yîi manà na biyu ba.",,,"Whenever we say to you, ""Abdurrazak, get ready and let's go"", you can be sure there will be no guitar playing.",,,,,A :,"{""Entry"": ""142"", ""Speaker"": ""A :"", ""Hausa"": ""Duk ra\u0302n da\u0300 muka\u0300 ce\u0302e mak, \""A\u0300bdu\u0300rra\u0300za\u0302k, tun da\u0300 dai kaa rigaa kaa yi mana\u0300 wa\u0300nnan\"", ai, ba\u0300 zaa ka\u0300 \u0199aara\u0300 yi\u0302i mana\u0300 na biyu ba."", ""English"": ""Whenever we say to you, \""Abdurrazak, get ready and let's go\"", you can be sure there will be no guitar playing.""}"
hau_conversation_1980_01-143,HAU,Hakà nee fa.,,,That's right.,,,,,T :,"{""Entry"": ""143"", ""Speaker"": ""T :"", ""Hausa"": ""Haka\u0300 nee fa."", ""English"": ""That's right.""}"
hau_conversation_1980_01-144,HAU,"In mun jee mun sàamee kà kuma, kanàa nan gàa shi mooloo, zaa mù ƙwaacèe…",,,"If we come to get you, and there you are with your guitar, we'll take it away from you…",,,,,A :,"{""Entry"": ""144"", ""Speaker"": ""A :"", ""Hausa"": ""In mun jee mun sa\u0300amee ka\u0300 kuma, kana\u0300a nan ga\u0300a shi mooloo, zaa mu\u0300 \u0199waace\u0300e\u2026"", ""English"": ""If we come to get you, and there you are with your guitar, we'll take it away from you\u2026""}"
hau_conversation_1980_01-145,HAU,Zaa mù ƙwaacèe…,,,We'll take it away…,,,,,T :,"{""Entry"": ""145"", ""Speaker"": ""T :"", ""Hausa"": ""Zaa mu\u0300 \u0199waace\u0300e\u2026"", ""English"": ""We'll take it away\u2026""}"
hau_conversation_1980_01-146,HAU,Zaa mù cikà shìgaa mootàa mù tafi.,,,We'll get into the car and leave.,,,,,A :,"{""Entry"": ""146"", ""Speaker"": ""A :"", ""Hausa"": ""Zaa mu\u0300 cika\u0300 shi\u0300gaa moota\u0300a mu\u0300 tafi."", ""English"": ""We'll get into the car and leave.""}"
hau_conversation_1980_01-147,HAU,"Koo bàa hakà ba?  Don ya zàmaanà kàm an saaɓà àlkawàrii, bâa shi dà daaɗii.",,,Isn't that so?  Because it is not good to break promises.,,,,,T :,"{""Entry"": ""147"", ""Speaker"": ""T :"", ""Hausa"": ""Koo ba\u0300a haka\u0300 ba?  Don ya za\u0300maana\u0300 ka\u0300m an saa\u0253a\u0300 a\u0300lkawa\u0300rii, ba\u0302a shi da\u0300 daa\u0257ii."", ""English"": ""Isn't that so?  Because it is not good to break promises.""}"
hau_conversation_1980_01-148,HAU,Gàskiyaa nèe.,,,That's true.,,,,,A :,"{""Entry"": ""148"", ""Speaker"": ""A :"", ""Hausa"": ""Ga\u0300skiyaa ne\u0300e."", ""English"": ""That's true.""}"
hau_conversation_1980_01-149,HAU,Koo bàa hakà ba?,,,Isn't that so?,,,,,T :,"{""Entry"": ""149"", ""Speaker"": ""T :"", ""Hausa"": ""Koo ba\u0300a haka\u0300 ba?"", ""English"": ""Isn't that so?""}"
hau_conversation_1980_01-150,HAU,"Koowaa maa, koowaa akà yi masà hakà, bâa daaɗii.",,,"Whoever is treated in that fashion, it's not good.",,,,,A :,"{""Entry"": ""150"", ""Speaker"": ""A :"", ""Hausa"": ""Koowaa maa, koowaa aka\u0300 yi masa\u0300 haka\u0300, ba\u0302a daa\u0257ii."", ""English"": ""Whoever is treated in that fashion, it's not good.""}"
hau_conversation_1980_01-151,HAU,"Tôo, kaa ga nii, wàllaahì, dâa maa dà kukèe faɗàa manà ha linshì koo, bàn taɓà tsàmmaanìi hakà ba nèe, don nii, wàatàu à cikin zuucìyaataa, inàa ɗaukàn wàatàu shii yaa san àbîn da yakèe gùdaanàa, shii dai wàatàu yanàa ɗaukàn koomee à tàakaa tsantsan.",,,"Well, as for myself, when you were telling me about his character, I never thought that to be the case, for in my heart I thought he knew what he was about, that he was a responsible person.",,,,,T :,"{""Entry"": ""151"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o, kaa ga nii, wa\u0300llaahi\u0300, da\u0302a maa da\u0300 kuke\u0300e fa\u0257a\u0300a mana\u0300 ha linshi\u0300 koo, ba\u0300n ta\u0253a\u0300 tsa\u0300mmaani\u0300i haka\u0300 ba ne\u0300e, don nii, wa\u0300ata\u0300u a\u0300 cikin zuuci\u0300yaataa, ina\u0300a \u0257auka\u0300n wa\u0300ata\u0300u shii yaa san a\u0300bi\u0302n da yake\u0300e gu\u0300daana\u0300a, shii dai wa\u0300ata\u0300u yana\u0300a \u0257auka\u0300n koomee a\u0300 ta\u0300akaa tsantsan."", ""English"": ""Well, as for myself, when you were telling me about his character, I never thought that to be the case, for in my heart I thought he knew what he was about, that he was a responsible person.""}"
hau_conversation_1980_01-152,HAU,Hakà nee.,,,Yes.,,,,,A :,"{""Entry"": ""152"", ""Speaker"": ""A :"", ""Hausa"": ""Haka\u0300 nee."", ""English"": ""Yes.""}"
hau_conversation_1980_01-153,HAU,"Koo bàa hakà ba?  Koomee ya shaafà ruwaa à gàbaanaa, inàa ganii.  Koo bàa hakà ba?",,,"Isn't that so?  Whatever concerns me, I'm aware of it.  Isn't that so?",,,,,T :,"{""Entry"": ""153"", ""Speaker"": ""T :"", ""Hausa"": ""Koo ba\u0300a haka\u0300 ba?  Koomee ya shaafa\u0300 ruwaa a\u0300 ga\u0300baanaa, ina\u0300a ganii.  Koo ba\u0300a haka\u0300 ba?"", ""English"": ""Isn't that so?  Whatever concerns me, I'm aware of it.  Isn't that so?""}"
hau_conversation_1980_01-154,HAU,"Ii, tun farkoo kai bà kà gaanèe ba.",,,"Yes, but you never understood him from the start.",,,,,A :,"{""Entry"": ""154"", ""Speaker"": ""A :"", ""Hausa"": ""Ii, tun farkoo kai ba\u0300 ka\u0300 gaane\u0300e ba."", ""English"": ""Yes, but you never understood him from the start.""}"
hau_conversation_1980_01-155,HAU,"Tôo, nii, kaa ga nii bàn ɗàuki àbîn nan ba.  Nii dai, ai àbîn dà ya sâa na faɗàa makà kèenan, na cèe nii inàa tsàmmaanìi yanàa ɗaukàn tàakaa tsantsan, koo bàa hakà ba, koo nii maa inàa tùnàanii wani lookàcii ìn cêe, ii, àbìn dà ya kàmaatà mùtûm à duuniyàa, kar kà nuunà koomee yaa dàamee kà.",,,"Well, as I told you, I thought he was a responsible man, I thought that whatever a man does in this world, whatever bothers you, don't show it.",,,,,T :,"{""Entry"": ""155"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o, nii, kaa ga nii ba\u0300n \u0257a\u0300uki a\u0300bi\u0302n nan ba.  Nii dai, ai a\u0300bi\u0302n da\u0300 ya sa\u0302a na fa\u0257a\u0300a maka\u0300 ke\u0300enan, na ce\u0300e nii ina\u0300a tsa\u0300mmaani\u0300i yana\u0300a \u0257auka\u0300n ta\u0300akaa tsantsan, koo ba\u0300a haka\u0300 ba, koo nii maa ina\u0300a tu\u0300na\u0300anii wani looka\u0300cii i\u0300n ce\u0302e, ii, a\u0300bi\u0300n da\u0300 ya ka\u0300maata\u0300 mu\u0300tu\u0302m a\u0300 duuniya\u0300a, kar ka\u0300 nuuna\u0300 koomee yaa da\u0300amee ka\u0300."", ""English"": ""Well, as I told you, I thought he was a responsible man, I thought that whatever a man does in this world, whatever bothers you, don't show it.""}"
hau_conversation_1980_01-156,HAU,"Shii nèe ai, ai nii naa san Àbdùrràzâk.",,,"That's it, I know Abdurrazak.",,,,,A :,"{""Entry"": ""156"", ""Speaker"": ""A :"", ""Hausa"": ""Shii ne\u0300e ai, ai nii naa san A\u0300bdu\u0300rra\u0300za\u0302k."", ""English"": ""That's it, I know Abdurrazak.""}"
hau_conversation_1980_01-157,HAU,Koo bàa hakà ba?,,,Isn't that so?,,,,,T :,"{""Entry"": ""157"", ""Speaker"": ""T :"", ""Hausa"": ""Koo ba\u0300a haka\u0300 ba?"", ""English"": ""Isn't that so?""}"
hau_conversation_1980_01-158,HAU,"Àbdùrràzâk, koomee dà koomee naa sanìi.",,,I know everything about Adurrazak.,,,,,A :,"{""Entry"": ""158"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300bdu\u0300rra\u0300za\u0302k, koomee da\u0300 koomee naa sani\u0300i."", ""English"": ""I know everything about Adurrazak.""}"
hau_conversation_1980_01-159,HAU,"Yan kwàanàkîn nan biyu, sai ya zàmaanà wàatàu koomee, nii kàm wàllaahì tàllaahì, sai ya zàmaanà kàman bàa mùtûm ba kuma.",,,"During the last few days, by God, it's as if he's not a man at all.",,,,,T :,"{""Entry"": ""159"", ""Speaker"": ""T :"", ""Hausa"": ""Yan kwa\u0300ana\u0300ki\u0302n nan biyu, sai ya za\u0300maana\u0300 wa\u0300ata\u0300u koomee, nii ka\u0300m wa\u0300llaahi\u0300 ta\u0300llaahi\u0300, sai ya za\u0300maana\u0300 ka\u0300man ba\u0300a mu\u0300tu\u0302m ba kuma."", ""English"": ""During the last few days, by God, it's as if he's not a man at all.""}"
hau_conversation_1980_01-160,HAU,Allàh?,,,Really?,,,,,A :,"{""Entry"": ""160"", ""Speaker"": ""A :"", ""Hausa"": ""Alla\u0300h?"", ""English"": ""Really?""}"
hau_conversation_1980_01-161,HAU,"Wàllaahìǃ  Tòo, mèeyeenèe mùtûm, ai wândà dâa maa, wândà in ya cèe, ""Aa'àa, zân yi àbù kàzaa,"" zâi yi ƙooƙarii yà ga yaa yi, koo bàa hakà ba, in yaa yi àlkawàrii, yà ga yaa yi ƙòoƙarii yà cikà àlkawàrîn nan.",,,"Truly!  Well what is a man?  He's a person who, if he says, ""No, I'll do such-and-such"", will make sure that he does it, if he makes a promise, he will try to keep it.",,,,,T :,"{""Entry"": ""161"", ""Speaker"": ""T :"", ""Hausa"": ""Wa\u0300llaahi\u0300\u01c3  To\u0300o, me\u0300eyeene\u0300e mu\u0300tu\u0302m, ai wa\u0302nda\u0300 da\u0302a maa, wa\u0302nda\u0300 in ya ce\u0300e, \""Aa'a\u0300a, za\u0302n yi a\u0300bu\u0300 ka\u0300zaa,\"" za\u0302i yi \u0199oo\u0199arii ya\u0300 ga yaa yi, koo ba\u0300a haka\u0300 ba, in yaa yi a\u0300lkawa\u0300rii, ya\u0300 ga yaa yi \u0199o\u0300o\u0199arii ya\u0300 cika\u0300 a\u0300lkawa\u0300ri\u0302n nan."", ""English"": ""Truly!  Well what is a man?  He's a person who, if he says, \""No, I'll do such-and-such\"", will make sure that he does it, if he makes a promise, he will try to keep it.""}"
hau_conversation_1980_01-162,HAU,Gàskiyaa nee.,,,That's true.,,,,,A :,"{""Entry"": ""162"", ""Speaker"": ""A :"", ""Hausa"": ""Ga\u0300skiyaa nee."", ""English"": ""That's true.""}"
hau_conversation_1980_01-163,HAU,Kòo baa hakà ba?  Ai àbîn dà ya yi mùtûm nee koo?,,,Isn't that so?  Isn't that what makes a man?,,,,,T :,"{""Entry"": ""163"", ""Speaker"": ""T :"", ""Hausa"": ""Ko\u0300o baa haka\u0300 ba?  Ai a\u0300bi\u0302n da\u0300 ya yi mu\u0300tu\u0302m nee koo?"", ""English"": ""Isn't that so?  Isn't that what makes a man?""}"
hau_conversation_1980_01-164,HAU,"Ai àddiinìn Musuluncìi maa, ai àlkawàrii shii nèe.",,,"Well, according to Islam, a promise is a promise.",,,,,A :,"{""Entry"": ""164"", ""Speaker"": ""A :"", ""Hausa"": ""Ai a\u0300ddiini\u0300n Musulunci\u0300i maa, ai a\u0300lkawa\u0300rii shii ne\u0300e."", ""English"": ""Well, according to Islam, a promise is a promise.""}"
hau_conversation_1980_01-165,HAU,Tôo.,,,Fine.,,,,,T :,"{""Entry"": ""165"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o."", ""English"": ""Fine.""}"
hau_conversation_1980_01-166,HAU,"Àlkawàrii dai, doolè kà cikàa shi.",,,You must keep a promise.,,,,,A :,"{""Entry"": ""166"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300lkawa\u0300rii dai, doole\u0300 ka\u0300 cika\u0300a shi."", ""English"": ""You must keep a promise.""}"
hau_conversation_1980_01-167,HAU,Shii nèe.,,,That's right.,,,,,T :,"{""Entry"": ""167"", ""Speaker"": ""T :"", ""Hausa"": ""Shii ne\u0300e."", ""English"": ""That's right.""}"
hau_conversation_1980_01-168,HAU,…in kaa cikàa ka cèe bà zaa kà iyàa ba…,,,…if you make a promise and then you say you can't keep it…,,,,,A :,"{""Entry"": ""168"", ""Speaker"": ""A :"", ""Hausa"": ""\u2026in kaa cika\u0300a ka ce\u0300e ba\u0300 zaa ka\u0300 iya\u0300a ba\u2026"", ""English"": ""\u2026if you make a promise and then you say you can't keep it\u2026""}"
hau_conversation_1980_01-169,HAU,"Tôo, kadà maa kà faɗàa, àbîn dà ka san bà zaa bà cikàa ba, in an tàmbàyee kà, kâr kà ji tsòoron koomee, in an tàmbàyee kà kà faɗàa koo kà cêe aa'àa bà zaa kà sàami haalii ba.",,,"Fine don't give the promise, if you won't be able to do something, if you are asked, don't be afraid, if you're asked just say you won't be able to do it.",,,,,T :,"{""Entry"": ""169"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o, kada\u0300 maa ka\u0300 fa\u0257a\u0300a, a\u0300bi\u0302n da\u0300 ka san ba\u0300 zaa ba\u0300 cika\u0300a ba, in an ta\u0300mba\u0300yee ka\u0300, ka\u0302r ka\u0300 ji tso\u0300oron koomee, in an ta\u0300mba\u0300yee ka\u0300 ka\u0300 fa\u0257a\u0300a koo ka\u0300 ce\u0302e aa'a\u0300a ba\u0300 zaa ka\u0300 sa\u0300ami haalii ba."", ""English"": ""Fine don't give the promise, if you won't be able to do something, if you are asked, don't be afraid, if you're asked just say you won't be able to do it.""}"
hau_conversation_1980_01-170,HAU,"Ai yà gayàa minì yà cêe aa'àa waanè kâr kù zoo, nii fa zân jee ta kiɗàn mooloo.",,,"Or he should simply say that we shouldn't come, that he's off to play his guitar.",,,,,A :,"{""Entry"": ""170"", ""Speaker"": ""A :"", ""Hausa"": ""Ai ya\u0300 gaya\u0300a mini\u0300 ya\u0300 ce\u0302e aa'a\u0300a waane\u0300 ka\u0302r ku\u0300 zoo, nii fa za\u0302n jee ta ki\u0257a\u0300n mooloo."", ""English"": ""Or he should simply say that we shouldn't come, that he's off to play his guitar.""}"
hau_conversation_1980_01-171,HAU,Hakà nee.,,,That's so.,,,,,T :,"{""Entry"": ""171"", ""Speaker"": ""T :"", ""Hausa"": ""Haka\u0300 nee."", ""English"": ""That's so.""}"
hau_conversation_1980_01-172,HAU,"Tôo, kaa ga mèe zài kai kà wurin kiɗàn mooloo.",,,I mean why should you go to the guitar place?,,,,,A :,"{""Entry"": ""172"", ""Speaker"": ""A :"", ""Hausa"": ""To\u0302o, kaa ga me\u0300e za\u0300i kai ka\u0300 wurin ki\u0257a\u0300n mooloo."", ""English"": ""I mean why should you go to the guitar place?""}"
hau_conversation_1980_01-173,HAU,"Hakà nee, gàa wurii maa, bàa wurii kusa ba.",,,"Quite, and it's far away too.",,,,,T :,"{""Entry"": ""173"", ""Speaker"": ""T :"", ""Hausa"": ""Haka\u0300 nee, ga\u0300a wurii maa, ba\u0300a wurii kusa ba."", ""English"": ""Quite, and it's far away too.""}"
hau_conversation_1980_01-174,HAU,Wàllaahì kùwaǃ,,,Yes it is!,,,,,A :,"{""Entry"": ""174"", ""Speaker"": ""A :"", ""Hausa"": ""Wa\u0300llaahi\u0300 ku\u0300wa\u01c3"", ""English"": ""Yes it is!""}"
hau_conversation_1980_01-175,HAU,"Doogon tàfiyàa ìrin wànnan, kà duubà dai shân mâi dà mootàa ta yi irìn wànnan, koo bàa hakà ba?  Allàh dai yaa tàimàkee mù, mootàa maa, mootàa baa tàa shân mâi sòosai.",,,"A long journey like that one, look at the gas we used.  But God has helped us, the car doesn't use up too much gas.",,,,,T :,"{""Entry"": ""175"", ""Speaker"": ""T :"", ""Hausa"": ""Doogon ta\u0300fiya\u0300a i\u0300rin wa\u0300nnan, ka\u0300 duuba\u0300 dai sha\u0302n ma\u0302i da\u0300 moota\u0300a ta yi iri\u0300n wa\u0300nnan, koo ba\u0300a haka\u0300 ba?  Alla\u0300h dai yaa ta\u0300ima\u0300kee mu\u0300, moota\u0300a maa, moota\u0300a baa ta\u0300a sha\u0302n ma\u0302i so\u0300osai."", ""English"": ""A long journey like that one, look at the gas we used.  But God has helped us, the car doesn't use up too much gas.""}"
hau_conversation_1980_01-176,HAU,Baa tàa shân mâi gàskiyaa.,,,"It's true, the car is economical.",,,,,A :,"{""Entry"": ""176"", ""Speaker"": ""A :"", ""Hausa"": ""Baa ta\u0300a sha\u0302n ma\u0302i ga\u0300skiyaa."", ""English"": ""It's true, the car is economical.""}"
hau_conversation_1980_01-177,HAU,Koo bàa haka ba?,,,Isn't that so?,,,,,T :,"{""Entry"": ""177"", ""Speaker"": ""T :"", ""Hausa"": ""Koo ba\u0300a haka ba?"", ""English"": ""Isn't that so?""}"
hau_conversation_1980_01-178,HAU,Gàskiyaa nèe.,,,That's true.,,,,,A :,"{""Entry"": ""178"", ""Speaker"": ""A :"", ""Hausa"": ""Ga\u0300skiyaa ne\u0300e."", ""English"": ""That's true.""}"
hau_conversation_1980_01-179,HAU,"Àmmaa nii kàm, ai kàm, yaa raunànaa manà zuucìyaa.  Bâa wândà zài saakè gayàa manà màganàa wai wani làabaarìi hakà akà yàrda.  Don kaa ga dâa maa an cêe màganàa shii kàn yi mùtûm.  Koo bàa hakà ba?",,,"But as for myself, he really has upset me.  No one will play that trick on me again.  Because you know you judge a man by his statements.  Isn't that so?",,,,,T :,"{""Entry"": ""179"", ""Speaker"": ""T :"", ""Hausa"": ""A\u0300mmaa nii ka\u0300m, ai ka\u0300m, yaa rauna\u0300naa mana\u0300 zuuci\u0300yaa.  Ba\u0302a wa\u0302nda\u0300 za\u0300i saake\u0300 gaya\u0300a mana\u0300 ma\u0300gana\u0300a wai wani la\u0300abaari\u0300i haka\u0300 aka\u0300 ya\u0300rda.  Don kaa ga da\u0302a maa an ce\u0302e ma\u0300gana\u0300a shii ka\u0300n yi mu\u0300tu\u0302m.  Koo ba\u0300a haka\u0300 ba?"", ""English"": ""But as for myself, he really has upset me.  No one will play that trick on me again.  Because you know you judge a man by his statements.  Isn't that so?""}"
hau_conversation_1980_01-180,HAU,Ii.,,,Yes.,,,,,A :,"{""Entry"": ""180"", ""Speaker"": ""A :"", ""Hausa"": ""Ii."", ""English"": ""Yes.""}"
hau_conversation_1980_01-181,HAU,"Àbîn dà mùtûm zâi faɗàa makà, gàa shi cêewaa ii lallee, lallee zâi yi.  In bài yi ba, doolè, wàatàu girmansà zài ràgu à gàbankà, koo bàa hakà ba, à idònkà.",,,"What a man says to you, there he is saying of course, of course he will do it.  If he doesn't do it, his standing is lowered in your eyes.",,,,,T :,"{""Entry"": ""181"", ""Speaker"": ""T :"", ""Hausa"": ""A\u0300bi\u0302n da\u0300 mu\u0300tu\u0302m za\u0302i fa\u0257a\u0300a maka\u0300, ga\u0300a shi ce\u0302ewaa ii lallee, lallee za\u0302i yi.  In ba\u0300i yi ba, doole\u0300, wa\u0300ata\u0300u girmansa\u0300 za\u0300i ra\u0300gu a\u0300 ga\u0300banka\u0300, koo ba\u0300a haka\u0300 ba, a\u0300 ido\u0300nka\u0300."", ""English"": ""What a man says to you, there he is saying of course, of course he will do it.  If he doesn't do it, his standing is lowered in your eyes.""}"
hau_conversation_1980_01-182,HAU,"Àmmaa dai yànzu àbîn dà zaa à yi, sai à yàafee shì.",,,But what we should do now is forgive him.,,,,,A :,"{""Entry"": ""182"", ""Speaker"": ""A :"", ""Hausa"": ""A\u0300mmaa dai ya\u0300nzu a\u0300bi\u0302n da\u0300 zaa a\u0300 yi, sai a\u0300 ya\u0300afee shi\u0300."", ""English"": ""But what we should do now is forgive him.""}"
hau_conversation_1980_01-183,HAU,"Tôo, ai bâa dàamuwaa.",,,"Yes, no problem.",,,,,T :,"{""Entry"": ""183"", ""Speaker"": ""T :"", ""Hausa"": ""To\u0302o, ai ba\u0302a da\u0300amuwaa."", ""English"": ""Yes, no problem.""}"
hau_conversation_1980_01-184,HAU,Sai à yàafee shì.,,,We should forgive him.,,,,,A :,"{""Entry"": ""184"", ""Speaker"": ""A :"", ""Hausa"": ""Sai a\u0300 ya\u0300afee shi\u0300."", ""English"": ""We should forgive him.""}"
hau_conversation_1980_02-1,HAU,Shàlangù nee?,,,Is that Shalangu?,,,,,Tijjani ː,"{""Entry"": ""1"", ""Speaker"": ""Tijjani \u02d0"", ""Hausa"": ""Sha\u0300langu\u0300 nee?"", ""English"": ""Is that Shalangu?""}"
hau_conversation_1980_02-2,HAU,"Ii, nii nèe wàllaahì Tìjjaani.",,,Yes it's me Tijjani.,,,,,Elaisha (=Shalangu) ː,"{""Entry"": ""2"", ""Speaker"": ""Elaisha (=Shalangu) \u02d0"", ""Hausa"": ""Ii, nii ne\u0300e wa\u0300llaahi\u0300 Ti\u0300jjaani."", ""English"": ""Yes it's me Tijjani.""}"
hau_conversation_1980_02-3,HAU,Barkàa dà yâmma.,,,Good afternoon.,,,,,T :,"{""Entry"": ""3"", ""Speaker"": ""T :"", ""Hausa"": ""Barka\u0300a da\u0300 ya\u0302mma."", ""English"": ""Good afternoon.""}"
hau_conversation_1980_02-4,HAU,Laafiyàa?,,,Are you well?,,,,,E :,"{""Entry"": ""4"", ""Speaker"": ""E :"", ""Hausa"": ""Laafiya\u0300a?"", ""English"": ""Are you well?""}"
hau_conversation_1980_02-5,HAU,Laafiyàa ƙalau.,,,Just fine.,,,,,T :,"{""Entry"": ""5"", ""Speaker"": ""T :"", ""Hausa"": ""Laafiya\u0300a \u0199alau."", ""English"": ""Just fine.""}"
hau_conversation_1980_02-6,HAU,Yàayàa gàrii yâu?,,,How's life?,,,,,E :,"{""Entry"": ""6"", ""Speaker"": ""E :"", ""Hausa"": ""Ya\u0300aya\u0300a ga\u0300rii ya\u0302u?"", ""English"": ""How's life?""}"
hau_conversation_1980_02-7,HAU,Sai àlheerìi.,,,No problems.,,,,,T :,"{""Entry"": ""7"", ""Speaker"": ""T :"", ""Hausa"": ""Sai a\u0300lheeri\u0300i."", ""English"": ""No problems.""}"
hau_conversation_1980_02-8,HAU,Sànnunkà.,,,Hello.,,,,,E :,"{""Entry"": ""8"", ""Speaker"": ""E :"", ""Hausa"": ""Sa\u0300nnunka\u0300."", ""English"": ""Hello.""}"
hau_conversation_1980_02-9,HAU,Yâwwaa.,,,Hello.,,,,,T :,"{""Entry"": ""9"", ""Speaker"": ""T :"", ""Hausa"": ""Ya\u0302wwaa."", ""English"": ""Hello.""}"
hau_conversation_1980_02-10,HAU,Sànnu.,,,Hello.,,,,,E :,"{""Entry"": ""10"", ""Speaker"": ""E :"", ""Hausa"": ""Sa\u0300nnu."", ""English"": ""Hello.""}"
hau_conversation_1980_02-11,HAU,"Yàwwaa. Dâa maa naa yi makà màganàa nee ìn tàmbàyee kà yàayàa màganàr Lawàni, àbookinkà?",,,Hello. I wanted to talk to you and ask you how is your friend Lawani?,,,,,T :,"{""Entry"": ""11"", ""Speaker"": ""T :"", ""Hausa"": ""Ya\u0300wwaa. Da\u0302a maa naa yi maka\u0300 ma\u0300gana\u0300a nee i\u0300n ta\u0300mba\u0300yee ka\u0300 ya\u0300aya\u0300a ma\u0300gana\u0300r Lawa\u0300ni, a\u0300bookinka\u0300?"", ""English"": ""Hello. I wanted to talk to you and ask you how is your friend Lawani?""}"
hau_conversation_1980_02-12,HAU,"Ai nii, Tìjjaani, naa gayàa makà, wannàn yaaròo Lawàn nân, nii naa rasà àbîn dà zân yi mishì.",,,"Well Tijjani I'll tell you, that Lawan boy, I don't know what to do about him.",,,,,E :,"{""Entry"": ""12"", ""Speaker"": ""E :"", ""Hausa"": ""Ai nii, Ti\u0300jjaani, naa gaya\u0300a maka\u0300, wanna\u0300n yaaro\u0300o Lawa\u0300n na\u0302n, nii naa rasa\u0300 a\u0300bi\u0302n da\u0300 za\u0302n yi mishi\u0300."", ""English"": ""Well Tijjani I'll tell you, that Lawan boy, I don't know what to do about him.""}"
hau_conversation_1980_02-13,HAU,Allàh?,,,Really?,,,,,T :,"{""Entry"": ""13"", ""Speaker"": ""T :"", ""Hausa"": ""Alla\u0300h?"", ""English"": ""Really?""}"
hau_conversation_1980_02-14,HAU,"Kaa ga yaa soomà ganiinaa rân dà akà yi ""birthday party"" ɗiinaa na gidaanaa.",,,You know he first saw me the day of the birthday party of mine at my house.,,,,,E :,"{""Entry"": ""14"", ""Speaker"": ""E :"", ""Hausa"": ""Kaa ga yaa sooma\u0300 ganiinaa ra\u0302n da\u0300 aka\u0300 yi \""birthday party\"" \u0257iinaa na gidaanaa."", ""English"": ""You know he first saw me the day of the birthday party of mine at my house.""}"
hau_conversation_1980_02-15,HAU,Hakà nee fa.,,,Yes that's right.,,,,,T :,"{""Entry"": ""15"", ""Speaker"": ""T :"", ""Hausa"": ""Haka\u0300 nee fa."", ""English"": ""Yes that's right.""}"
hau_conversation_1980_02-16,HAU,"Tôo, dàgà ran cân, sai baayan kwaanaa huɗu, doo bìyar...",,,"Well, after that day, four or five days later...",,,,,E :,"{""Entry"": ""16"", ""Speaker"": ""E :"", ""Hausa"": ""To\u0302o, da\u0300ga\u0300 ran ca\u0302n, sai baayan kwaanaa hu\u0257u, doo bi\u0300yar..."", ""English"": ""Well, after that day, four or five days later...""}"
hau_conversation_1980_02-17,HAU,Ii.,,,Yes.,,,,,T :,"{""Entry"": ""17"", ""Speaker"": ""T :"", ""Hausa"": ""Ii."", ""English"": ""Yes.""}"
hau_conversation_1980_02-18,HAU,Sai naa gan shì yaa zoo wuriinaa.,,,Then I saw him come to my place.,,,,,E :,"{""Entry"": ""18"", ""Speaker"": ""E :"", ""Hausa"": ""Sai naa gan shi\u0300 yaa zoo wuriinaa."", ""English"": ""Then I saw him come to my place.""}"
